,user,date,renderedContent
1664,TeenagerIndones,2013-07-03 05:57:34+00:00,"SEPAK BOLA : Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/haSFK9N4hP"
1665,ILM_Contact,2013-07-03 05:57:31+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/as6UbUKBlO [VIVAbola]"
1666,ILM_CP,2013-07-03 05:57:30+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/oA6hZl79iE [VIVAbola]"
1667,kevinoeng,2013-07-03 05:57:30+00:00,"@kevinoeng Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" I... http://t.co/g2iAjSK9Ld #kevinringo"
1668,ArdanNews,2013-07-03 05:57:18+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/Be2LKe2gH9"
1669,dewian,2013-07-03 05:57:13+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/kZgFa12NwD"
1670,Moccaviel,2013-07-03 05:57:10+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/0HBC7yyY7h"
1671,FaizalWibowow,2013-07-03 05:57:03+00:00,"#gosipbola Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/vcUxK9GF4t #TEAMFOLLOWBACK"
1672,romileorio,2013-07-03 05:56:46+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/f4NQLTuDgY"
1673,Gozisss_Ask,2013-07-03 05:56:36+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon."
1674,stwannn_,2013-07-03 05:56:32+00:00,"Berita Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/C51bNdTehm"
1675,ebensiburian2,2013-07-03 05:56:28+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/FrvmNMUnOG"
1676,Rennd_,2013-07-03 05:56:25+00:00,"[Update] Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/KNZhwyIeQ4 #Rennd_"
1677,_FatihST,2013-07-03 05:56:20+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" I... http://t.co/2IVBPBCXuN http://t.co/KTJsdEKyez"
1678,yetynurhasanah,2013-07-03 05:56:17+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/ddrLoWDqu7"
1679,Pahlevs,2013-07-03 05:56:03+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/uoQeuGIgj3"
1680,ZakiyyaRamadhan,2013-07-03 05:55:57+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/BDyJsyPvdF"
1681,omkmll,2013-07-03 05:55:49+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/d7x5iXHt4C"
1682,unedosamuel,2013-07-03 05:55:38+00:00,"Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/Z4tNEKkUAZ"
1683,yoga_nopendra,2013-07-03 05:55:38+00:00,"""Batal Tampil di LA, Lionel Messi Tuai Kecaman http://t.co/nblN8546wx @INDOBARCELONA"""
1684,CardysitUpdates,2013-07-03 05:55:36+00:00,"#OlgaNews Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/wV9P91q0GS"
1685,JasaIDFollowers,2013-07-03 05:55:33+00:00,"#viva Batal Tampil di LA, Lionel Messi Tuai Kecaman: ""Kami menyesal mensponsori acara ini,"" Ines Calderon. http://t.co/xRwyKaQ2QW"
